,household_key,coef,ascending
0,2375,[ 0.         -0.18146316  0.00018461],1
1,1364,[ 0.00000000e+00 -9.05396311e-03  1.29960441e-05],1
2,1130,[ 0.00000000e+00 -7.23539589e-02  9.31865623e-05],1
3,1173,[ 0.          0.15195839 -0.00022524],1
4,98,[ 0.00000000e+00  5.92404851e-02 -5.97121662e-05],1
5,1172,[ 0.00000000e+00 -1.36827407e-02  3.79544031e-05],1
6,1060,[ 0.          0.11226597 -0.00024352],1
7,1351,[ 0.00000000e+00 -7.95277145e-03  1.90333896e-05],1
8,744,[0.00000000e+00 3.06814765e-02 3.21931581e-06],1
9,212,[ 0.         -0.16675008  0.00022868],1
10,2052,[ 0.          0.60470569 -0.00108785],1
11,1287,[ 0.00000000e+00 -1.89219381e-02  1.56904933e-05],1
12,718,[ 0.00000000e+00  3.69289048e-02 -5.78448976e-05],1
13,2483,[ 0.         -0.0834622   0.00017528],1
14,1617,[ 0.00000000e+00  1.78159148e-01 -9.91121177e-05],1
15,240,[ 0.00000000e+00 -3.13233310e-03  1.50434505e-05],1
16,1843,[ 0.00000000e+00 -7.52931214e-03  1.75081516e-05],1
17,2305,[ 0.         -0.04960798  0.00011547],1
18,1916,[ 0.00000000e+00 -2.53797146e-02  2.25659506e-05],1
19,480,[ 0.00000000e+00 -1.98157832e-02  1.30843907e-05],1
20,271,[ 0.         -0.17151844  0.00038477],1
21,255,[ 0.00000000e+00 -1.65309771e-02  8.76893943e-06],1
22,985,[0.00000000e+00 1.53247185e-02 3.21703340e-05],1
23,2371,[ 0.00000000e+00  5.96709678e-02 -8.39668412e-05],1
24,347,[ 0.         -0.36498772  0.00042361],1
25,216,[ 0.00000000e+00  5.85928211e-02 -5.79721877e-05],1
26,1913,[0.00000000e+00 1.04632389e-02 2.91662060e-05],1
27,293,[ 0.         -0.12870615  0.00017369],1
28,2324,[ 0.00000000e+00  2.68783461e-02 -1.37870076e-05],1
29,1345,[ 0.00000000e+00  5.08800157e-03 -7.53249345e-06],1
30,1016,[ 0.         -0.56682591  0.00103252],1
31,122,[ 0.00000000e+00  1.24948835e-02 -5.82603681e-05],1
32,1238,[ 0.          0.16672933 -0.00030124],1
33,1828,[ 0.          0.1198056  -0.00031712],1
34,1377,[ 0.00000000e+00 -3.12556081e-03  3.35520911e-05],1
